"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"7714_3",61,"433","Trittau > Kuddewörde > Friedrichsruh > Aumühle",3,"","",""
"7713_3",61,"432","IKEA Moorfleet > %SB Billwerder-Moorfleet > %UB Billstedt > %UB Steinfurther Allee",3,"","",""
"7712_3",61,"374","Bf. Bargteheide  >   %UB  Hoisbüttel  >  Bergstedt  >   %SB  Poppenbüttel",3,"","",""
"7711_3",61,"133","%UB Billstedt > %UB Steinfurther Allee > Glinde > Neuschönningstedt",3,"","",""
"7254_3",61,"8800","Bf. Bergedorf  >  Geesthacht  > Tesperhude  >  Lauenburg, ZOB",3,"","",""
"7253_3",61,"574","Bergstedt  >  Lemsahl  >  Duvenstedt",3,"","",""
"7252_3",61,"474","Bf. Ahrensburg  >  Ammersbek  >   %UB  Hoisbüttel  >  Bergstedt  >  Duvenstedt",3,"","",""
"6977_3",61,"688","Bf. Altona  >  St. Pauli  >  %UB Gänsemarkt  >  Rathausmarkt",3,"","",""
"6966_3",61,"621","%SB Wedel  >  Sieversstücken  >  %SB Bahrenfeld  >  Bf. Altona",3,"","",""
"6964_3",61,"602","Osdorfer Born > %SB Holstenstraße > Rathausmarkt > HafenCity  > Tiefstack",3,"","",""
"6963_3",61,"601","%SB Wedel  >  %SB Blankenese  >  %SB Othmarschen  >  Bf. Altona  >  Rathausmarkt",3,"","",""
"6956_3",61,"385","%SB Thesdorf > Rellingen > Bf. Pinneberg",3,"","",""
"6955_3",61,"3","Schenefeld > Bahrenfeld > %SB Holstenstr. > Rathausmarkt > Hbf. > Tiefstack",3,"","",""
"6954_3",61,"289","%SB Wedel  >  Moorwegsiedlung  >  %SB Wedel",3,"","",""
"6953_3",61,"288","Pflegezentrum Lutherpark  >  Bf. Altona",3,"","",""
"6952_3",61,"286","Falkenstein > %SB Blankenese > Teufelsbrück (Fähre) > %SB Othmarschen (> Trabrennbahn B.)",3,"","",""
"6951_3",61,"285","Iserbrook  >  Schenefeld  >  %SB Thesdorf  >  Bf. Pinneberg",3,"","",""
"6950_3",61,"284","%UB Niendorf Nord > IKEA Schnelsen > %SB Elbgaustraße > AK Altona",3,"","",""
"6949_3",61,"281","%SB Krupunder > %UB Hagenbecks Tierpark > %UB Lattenkamp / UK Eppendorf",3,"","",""
"6948_3",61,"22","%SB Blankenese  >  EEZ  >  %UB Kellinghusenstraße",3,"","",""
"6947_3",61,"21","%UB Niendorf Nord  >  Eidelstedt  >  Osdorfer Born  >  %SB Klein Flottbek  >  Teufelsbrück",3,"","",""
"6946_3",61,"2","Schenefeld > Bahrenfeld > Bf. Altona > %UB Baumwall > Hauptbahnhof > %UB%SB Berliner Tor",3,"","",""
"6945_3",61,"189","%SB Wedel  >  Schulau  >  Tinsdal  >  %SB Blankenese",3,"","",""
"6944_3",61,"186","Lurup, Neißestraße > %SB Elbgaustraße > Osdorf > %SB Othmarschen",3,"","",""
