"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
147,1,1,1,1,1,1,0,20221202,20231209
148,1,1,1,1,1,1,0,20221202,20231209
149,0,0,0,0,0,0,1,20221202,20231209
150,0,0,0,0,0,1,1,20221202,20231209
151,0,0,0,0,0,1,1,20221202,20231209
152,0,0,0,0,0,0,1,20221202,20231209
153,0,0,0,0,1,1,0,20221202,20231209
154,0,0,0,0,1,1,0,20221202,20231209
155,0,0,0,0,0,0,0,20221202,20231209
156,1,1,1,1,1,0,0,20221202,20231209
157,0,0,0,0,0,0,0,20221202,20231209
158,1,1,1,1,1,0,0,20221202,20231209
159,0,0,0,0,0,0,0,20221202,20231209
160,0,0,0,0,0,0,0,20221202,20231209
161,1,1,1,1,1,0,1,20221202,20231209
162,1,1,1,1,1,0,0,20221202,20231209
163,1,0,0,0,0,0,0,20221202,20231209
164,0,0,0,0,0,0,0,20221202,20231209
165,0,0,0,0,0,1,0,20221202,20231209
166,0,0,0,0,0,0,0,20221202,20231209
167,0,0,0,0,0,0,0,20221202,20231209
168,0,0,0,0,0,0,0,20221202,20231209
169,1,1,1,1,0,0,0,20221202,20231209
170,0,0,0,0,1,1,0,20221202,20231209
171,0,0,0,0,0,0,0,20221202,20231209
172,0,0,0,0,0,0,0,20221202,20231209
173,0,0,0,0,0,0,0,20221202,20231209
174,0,0,0,0,0,0,0,20221202,20231209
175,0,1,0,1,0,0,0,20221202,20231209
176,0,0,0,0,1,1,0,20221202,20231209
177,0,0,0,0,0,0,0,20221202,20231209
178,0,0,0,0,0,1,0,20221202,20231209
179,0,0,0,0,0,0,0,20221202,20231209
180,1,1,1,1,1,0,0,20221202,20231209
181,0,0,0,0,0,0,0,20221202,20231209
182,0,0,0,0,0,0,0,20221202,20231209
183,0,0,0,0,0,0,0,20221202,20231209
184,0,0,0,0,0,0,0,20221202,20231209
185,0,0,0,0,0,0,0,20221202,20231209
186,1,1,1,1,1,0,0,20221202,20231209
187,0,0,0,0,0,0,0,20221202,20231209
188,0,0,0,0,0,0,0,20221202,20231209
189,1,1,1,1,0,0,0,20221202,20231209
190,0,0,0,0,0,0,0,20221202,20231209
191,0,0,0,0,0,1,0,20221202,20231209
192,0,0,0,0,0,0,1,20221202,20231209
193,0,0,0,0,0,1,1,20221202,20231209
194,1,1,1,1,1,1,0,20221202,20231209
195,0,0,0,0,0,0,1,20221202,20231209
196,0,0,0,0,0,0,0,20221202,20231209
197,0,0,0,0,0,0,0,20221202,20231209
198,1,1,1,1,1,0,0,20221202,20231209
199,0,1,1,1,0,0,0,20221202,20231209
200,1,0,0,0,0,0,0,20221202,20231209
201,0,0,0,0,0,0,0,20221202,20231209
202,0,0,0,0,0,1,0,20221202,20231209
203,1,1,1,1,0,0,0,20221202,20231209
204,0,0,0,0,0,0,0,20221202,20231209
205,0,0,0,0,0,0,0,20221202,20231209
206,0,0,0,0,0,0,0,20221202,20231209
207,0,0,0,0,0,0,1,20221202,20231209
208,0,0,0,0,0,0,0,20221202,20231209
209,0,0,0,0,0,0,0,20221202,20231209
210,1,1,1,1,1,1,0,20221202,20231209
211,0,0,0,0,0,0,0,20221202,20231209
212,0,0,1,1,0,0,0,20221202,20231209
213,0,1,1,0,0,0,0,20221202,20231209
214,1,1,1,1,1,1,0,20221202,20231209
215,0,0,0,0,0,0,1,20221202,20231209
216,1,1,1,1,1,0,0,20221202,20231209
217,0,0,0,0,0,1,1,20221202,20231209
218,1,0,1,0,0,0,0,20221202,20231209
219,0,0,0,0,0,0,0,20221202,20231209
220,0,0,0,0,0,1,0,20221202,20231209
221,0,0,0,0,0,1,1,20221202,20231209
222,1,1,0,1,0,0,0,20221202,20231209
223,1,1,1,1,1,0,0,20221202,20231209
224,0,0,0,0,0,1,1,20221202,20231209
225,1,1,1,1,1,0,0,20221202,20231209
226,1,1,1,1,1,1,1,20221202,20231209
227,1,1,1,1,1,0,0,20221202,20231209
228,0,0,0,0,0,0,0,20221202,20231209
229,0,0,0,0,0,0,0,20221202,20231209
230,0,0,0,0,0,0,0,20221202,20231209
231,0,0,0,0,0,0,0,20221202,20231209
232,0,0,0,0,0,0,0,20221202,20231209
233,0,0,0,0,0,0,0,20221202,20231209
234,0,0,0,0,0,1,0,20221202,20231209
235,0,0,0,0,0,1,1,20221202,20231209
236,1,0,1,0,1,0,0,20221202,20231209
