"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
"de:03357:23919::1","de:03357:23919::2",2,120,,,,
"de:03357:23919::1","000000323342",2,240,,,,
"de:03357:23919::1","000000332832",2,240,,,,
"de:03357:23919::1","000000332831",2,240,,,,
"de:03357:23919::2","de:03357:23919::1",2,120,,,,
"de:03357:23919::2","000000323342",2,240,,,,
"de:03357:23919::2","000000332832",2,240,,,,
"de:03357:23919::2","000000332831",2,240,,,,
"de:03357:23922::1","de:03357:23922::2",2,120,,,,
"de:03357:23922::1","000000323371",2,240,,,,
"de:03357:23922::1","000000323372",2,240,,,,
"de:03357:23922::2","de:03357:23922::1",2,120,,,,
"de:03357:23922::2","000000323371",2,240,,,,
"de:03357:23922::2","000000323372",2,240,,,,
"de:03357:86918::1","de:03357:86918::2",2,120,,,,
"de:03357:86918::2","de:03357:86918::1",2,120,,,,
"de:03357:86917::1","de:03357:86917::2",2,120,,,,
"de:03357:86917::2","de:03357:86917::1",2,120,,,,
"de:03357:11269::1","de:03357:11269::2",2,120,,,,
"de:03357:11269::2","de:03357:11269::1",2,120,,,,
"de:03357:39585::2","de:03357:39585::1",2,120,,,,
"de:03357:39585::1","de:03357:39585::2",2,120,,,,
"de:03357:39588::2","de:03357:39588::1",2,120,,,,
"de:03357:39588::1","de:03357:39588::2",2,120,,,,
"de:03357:39589::1","de:03357:39589::2",2,120,,,,
"de:03357:39589::1","000000151931",2,240,,,,
"de:03357:39589::1","000000151932",2,240,,,,
"de:03357:39589::2","de:03357:39589::1",2,120,,,,
"de:03357:39589::2","000000151931",2,240,,,,
"de:03357:39589::2","000000151932",2,240,,,,
"de:03357:39587::1","de:03357:39587::2",2,120,,,,
"de:03357:39587::1","000000320051",2,240,,,,
"de:03357:39587::1","000000320052",2,240,,,,
"de:03357:39587::2","de:03357:39587::1",2,120,,,,
"de:03357:39587::2","000000320051",2,240,,,,
"de:03357:39587::2","000000320052",2,240,,,,
